Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added Time,Referrer Name,Task Owner
Advanced Image Synthesis,Advanced Web Technologies,Cloud Web & Mobile,Cognitive Robot Systems,Computer Robot Vision,Computer Graphics,Gestaltung interaktiver Lehr-/Lern-Systeme,Development of Safe and Secure Software,Digital Games Research,Distributed Systems,Electronic Communities and Social Networks,Fault Diagnosis and Fault Tolerance in Technical Systems,Formal Specification of Software Systems,Game Architecture and Design,Information Engineering,Information Mining,Information Retrieval,Interaktive Systeme,Internet of Things- Protocols and System Software,Knowledge-Based Systems,Learning Analytics,Master Seminar Informatics,Modelling of Concurrent Systems,Modelling-Analysis-Verification,Natural-Language-based Human-Computer Interaction,Neurocomputing and Organic Computing,Pattern and Component based Software Development,Peer-to-Peer Systems,Recommender Systems,Scientific Visualization,Test and Reliability of Digital Systems
,,,,,,,,,,,,,,"Semester:1,Grade:C,Rating:5","Semester:2,Grade:E,Rating:4","Semester:2,Grade:E,Rating:4",,"Semester:2,Grade:C,Rating:2",,,,,,,,,,,,,23-Jan-2020 11:55:06,,"anil4frds@gmail.com"
,"Semester:Other,Grade:B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22-Jan-2020 20:02:56,,"anil4frds@gmail.com"
,"Semester:3,Grade:C,Rating:1","Semester:4,Grade:E,Rating:3",,,,,,,"Semester:1,Grade:D,Rating:2","Semester:1,Grade:C,Rating:1",,,,"Semester:4,Grade:E,Rating:4",,,"Semester:2,Grade:C,Rating:1","Semester:3,Grade:D,Rating:1",,"Semester:4,Grade:B,Rating:1",,,"Semester:3,Grade:C,Rating:1",,,,"Semester:2,Grade:C,Rating:2",,,,22-Jan-2020 08:46:39,,"anil4frds@gmail.com"
,,,,,,,,,,,,,,,,,,,,"Semester:1,Rating:2",,,"Semester:1,Rating:2",,,,,,,,22-Jan-2020 04:00:12,"https://forms.zohopublic.eu/anil/form/StudentCourseData/thankyou/formperma/uB6BhePzSOwtHTzA2YF2sxpF3XxczzeaQFh9iHxfIp0","anil4frds@gmail.com"
"Semester:1,Rating:2",,"Semester:1,Rating:2","Semester:1,Rating:2","Semester:1,Rating:2",,,,,"Semester:1,Rating:1",,,"Semester:1,Rating:2",,,,,,,,"Semester:1,Rating:2",,,,,,,,,,,22-Jan-2020 03:57:26,,"anil4frds@gmail.com"
,,"Semester:1,Rating:1","Semester:1,Rating:3","Semester:1,Rating:2",,,,,,,,,,,"Semester:1,Rating:4",,,,,"Semester:1,Rating:2",,,,,,,,,,,22-Jan-2020 03:53:27,,"anil4frds@gmail.com"
,,"Semester:3,Grade:C,Rating:1","Semester:1,Grade:D,Rating:3","Semester:2,Grade:C,Rating:2","Semester:3,Grade:D,Rating:2",,,,,"Semester:1,Grade:D,Rating:3",,,,"Semester:Other,Grade:C,Rating:1","Semester:3,Grade:C,Rating:2","Semester:Other,Grade:A,Rating:1",,,,,,,"Semester:Other,Grade:C,Rating:2",,"Semester:Other,Grade:C,Rating:2","Semester:Other,Grade:E,Rating:3",,,,,20-Jan-2020 05:45:04,"https://l.facebook.com/","anil4frds@gmail.com"
Semester:2,Semester:2,Semester:1,Semester:1,Semester:2,Semester:1,Semester:4,Semester:2,Semester:3,Semester:3,Semester:1,Semester:Other,Semester:3,Semester:Other,Semester:1,Semester:2,Semester:3,Semester:4,Semester:Other,Semester:3,Semester:3,Semester:Other,Semester:4,Semester:4,Semester:Other,Semester:2,Semester:2,Semester:4,Semester:2,Semester:2,Semester:Other,17-Jan-2020 08:38:27,"https://forms.zohopublic.eu/anil/form/StudentCourseData/thankyou/formperma/uB6BhePzSOwtHTzA2YF2sxpF3XxczzeaQFh9iHxfIp0","anil4frds@gmail.com"
"Semester:2,Grade:B,Rating:2","Semester:1,Grade:B,Rating:2",,,,,,"Semester:1,Grade:C,Rating:3",,"Semester:1,Grade:C,Rating:3",,,,,,,"Semester:3,Grade:B,Rating:2",,,,"Semester:2,Grade:B,Rating:2",,,,,,,"Semester:3,Grade:C,Rating:3",,,,15-Jan-2020 02:53:09,,"anil4frds@gmail.com"
,"Semester:3,Grade:B,Rating:1","Semester:3,Grade:C,Rating:3","Semester:1,Grade:C,Rating:2",,,"Semester:4,Grade:B,Rating:4","Semester:2,Grade:B,Rating:3",,"Semester:1,Grade:C,Rating:3","Semester:3,Grade:D,Rating:1",,,,"Semester:3,Grade:C,Rating:3",,"Semester:2,Grade:C,Rating:3",,,,"Semester:3,Grade:B,Rating:4",,,,,,,"Semester:2,Grade:B,Rating:3",,,,14-Jan-2020 10:30:59,,"anil4frds@gmail.com"
,,,,,,"Semester:2,Grade:D,Rating:1",,,"Semester:1,Grade:D,Rating:2","Semester:1,Grade:C,Rating:1",,"Semester:1,Grade:E,Rating:3",,"Semester:1,Grade:D,Rating:3","Semester:1,Grade:D,Rating:3","Semester:2,Grade:C,Rating:3","Semester:2,Grade:A,Rating:2","Semester:2,Grade:D,Rating:2",,"Semester:3,Rating:1",,,,,,,,"Semester:2,Grade:D,Rating:2",,,14-Jan-2020 09:13:34,,"anil4frds@gmail.com"
,,,,,,"Semester:2,Grade:C,Rating:2",,,"Semester:1,Grade:D,Rating:2","Semester:1,Grade:B,Rating:1",,,,,,,"Semester:2,Grade:C,Rating:2",,,,,,,,,,"Semester:2,Grade:D,Rating:2",,,,14-Jan-2020 09:02:18,,"anil4frds@gmail.com"
,,,,,,,,,"Semester:2,Grade:B,Rating:4",,,,,,,,,"Semester:1,Grade:C,Rating:4",,,,,,,,,"Semester:3,Grade:C,Rating:4",,,"Semester:2,Grade:F,Rating:3",13-Jan-2020 11:32:48,,"anil4frds@gmail.com"
,"Semester:3,Grade:A,Rating:1","Semester:1,Grade:C,Rating:2",,"Semester:1,Grade:F,Rating:1",,,"Semester:2,Grade:C,Rating:2",,"Semester:1,Grade:C,Rating:3",,,"Semester:1,Grade:C,Rating:2",,"Semester:3,Grade:B,Rating:1","Semester:3,Grade:B,Rating:1",,"Semester:2,Grade:C,Rating:3","Semester:2,Grade:C,Rating:3",,,,,,,,"Semester:2,Grade:B,Rating:1","Semester:2,Grade:B,Rating:1",,,,13-Jan-2020 10:49:08,,"anil4frds@gmail.com"
